item;BA S/E SANTA LUISA 154KV BP1;addValue
2022-03-29 04;11221;112,21
2022-03-29 05;22854;228,54
2022-03-29 06;20498;204,98
2022-03-29 07;26795;267,95
2022-03-29 08;28765;287,65
2022-03-29 09;14101;141,01
2022-03-29 10;11795;117,95
2022-03-29 11;19192;191,92
2022-03-29 12;19192;191,92
2022-03-29 13;19192;191,92
2022-03-29 14;19192;191,92
2022-03-29 15;18483;184,83
2022-03-29 16;25668;256,68
2022-03-29 17;23345;233,45
2022-03-29 18;27094;270,94
2022-03-29 19;26944;269,44
2022-03-29 20;19075;190,75
2022-03-29 21;26944;269,44
2022-03-29 22;23403;234,03
2022-03-29 23;13288;132,88
2022-03-29 24;9484;94,84
2022-03-30 01;13049;130,49
2022-03-30 02;13049;130,49
2022-03-30 03;13049;130,49
2022-03-30 04;13049;130,49
2022-03-30 05;12780;127,8
2022-03-30 06;12646;126,46
2022-03-30 07;13002;130,02
2022-03-30 08;13049;130,49
2022-03-30 09;11187;111,87
2022-03-30 10;6137;61,37
2022-03-30 11;5456;54,56
2022-03-30 12;5456;54,56
2022-03-30 13;5456;54,56
2022-03-30 14;0;0
2022-03-30 15;0;0
2022-03-30 16;141;1,41
2022-03-30 17;4218;42,18
2022-03-30 18;4218;42,18
2022-03-30 19;10308;103,08
2022-03-30 20;13915;139,15
2022-03-30 21;19092;190,92
2022-03-30 22;19512;195,12
2022-03-30 23;19512;195,12
2022-03-30 24;14615;146,15
2022-03-31 01;14008;140,08
2022-03-31 02;13722;137,22
2022-03-31 03;9095;90,95
2022-03-31 04;8067;80,67
2022-03-31 05;7771;77,71
2022-03-31 06;9401;94,01
2022-03-31 07;13210;132,1
2022-03-31 08;14008;140,08
2022-03-31 09;12299;122,99
2022-03-31 10;10145;101,45
2022-03-31 11;28011;280,11
2022-03-31 12;28599;285,99
2022-03-31 13;26874;268,74
2022-03-31 14;10718;107,18
2022-03-31 15;12811;128,11
2022-03-31 16;11834;118,34
2022-03-31 17;8466;84,66
2022-03-31 18;8466;84,66
2022-03-31 19;9160;91,6
2022-03-31 20;13733;137,33
2022-03-31 21;13423;134,23
2022-03-31 22;12988;129,88
2022-03-31 23;12709;127,09
2022-03-31 24;11248;112,48
2022-04-01 01;8544;85,44
2022-04-01 02;8183;81,83
2022-04-01 03;7748;77,48
2022-04-01 04;7758;77,58
2022-04-01 05;7865;78,65
2022-04-01 06;9099;90,99
2022-04-01 07;9596;95,96
2022-04-01 08;11287;112,87
2022-04-01 09;10807;108,07
2022-04-01 10;5716;57,16
2022-04-01 11;5521;55,21
2022-04-01 12;5521;55,21
2022-04-01 13;5521;55,21
2022-04-01 14;5521;55,21
2022-04-01 15;5434;54,34
2022-04-01 16;5384;53,84
2022-04-01 17;5384;53,84
2022-04-01 18;1615;16,15
2022-04-01 19;8110;81,1
2022-04-01 20;11474;114,74
2022-04-01 21;19377;193,77
2022-04-01 22;14992;149,92
2022-04-01 23;11905;119,05
2022-04-01 24;13115;131,15
2022-04-02 01;14264;142,64
2022-04-02 02;14264;142,64
2022-04-02 03;18983;189,83
2022-04-02 04;14819;148,19
2022-04-02 05;14264;142,64
2022-04-02 06;14264;142,64
2022-04-02 07;14264;142,64
2022-04-02 08;14264;142,64
2022-04-02 09;11401;114,01
2022-04-02 10;6319;63,19
2022-04-02 11;5649;56,49
2022-04-02 12;6411;64,11
2022-04-02 13;6215;62,15
2022-04-02 14;9054;90,54
2022-04-02 15;13969;139,69
2022-04-02 16;0;0
2022-04-02 17;0;0
2022-04-02 18;0;0
2022-04-02 19;9194;91,94
2022-04-02 20;18213;182,13
2022-04-02 21;28599;285,99
2022-04-02 22;19365;193,65
2022-04-02 23;14934;149,34
2022-04-02 24;11800;118
2022-04-03 01;8893;88,93
2022-04-03 01;13168;131,68
2022-04-03 02;13168;131,68
2022-04-03 03;11743;117,43
2022-04-03 04;8297;82,97
2022-04-03 05;8140;81,4
2022-04-03 06;8140;81,4
2022-04-03 07;8140;81,4
2022-04-03 08;4739;47,39
2022-04-03 09;0;0
2022-04-03 10;0;0
2022-04-03 11;0;0
2022-04-03 12;0;0
2022-04-03 13;0;0
2022-04-03 14;0;0
2022-04-03 15;0;0
2022-04-03 16;0;0
2022-04-03 17;0;0
2022-04-03 18;7173;71,73
2022-04-03 19;15683;156,83
2022-04-03 20;11282;112,82
2022-04-03 21;11282;112,82
2022-04-03 22;10803;108,03
2022-04-03 23;7763;77,63
2022-04-03 24;7577;75,77
2022-04-04 01;6508;65,08
2022-04-04 02;3256;32,56
2022-04-04 03;0;0
2022-04-04 04;0;0
2022-04-04 05;0;0
2022-04-04 06;0;0
2022-04-04 07;1068;10,68
2022-04-04 08;5651;56,51
2022-04-04 09;186;1,86
2022-04-04 10;3273;32,73
2022-04-04 11;5443;54,43
2022-04-04 12;5443;54,43
2022-04-04 13;7674;76,74
2022-04-04 14;5400;54
2022-04-04 15;7768;77,68
2022-04-04 16;5400;54
2022-04-04 17;5400;54
2022-04-04 18;6945;69,45
2022-04-04 19;21700;217
2022-04-04 20;16021;160,21
2022-04-04 21;11981;119,81
2022-04-04 22;10756;107,56
2022-04-04 23;8489;84,89
2022-04-04 24;12857;128,57
2022-04-05 01;11575;115,75
2022-04-05 02;10412;104,12
2022-04-05 03;9719;97,19
2022-04-05 04;8950;89,5
2022-04-05 05;8733;87,33
2022-04-05 06;10420;104,2
2022-04-05 07;11410;114,1
2022-04-05 08;8841;88,41
2022-04-05 09;4074;40,74
2022-04-05 10;6227;62,27
2022-04-05 11;8132;81,32
2022-04-05 12;9375;93,75
2022-04-05 13;10012;100,12
2022-04-05 14;10012;100,12
2022-04-05 15;10012;100,12
2022-04-05 16;10012;100,12
2022-04-05 17;10012;100,12
2022-04-05 18;20395;203,95
2022-04-05 19;24418;244,18
2022-04-05 20;26973;269,73
2022-04-05 21;13452;134,52
2022-04-05 22;18732;187,32
2022-04-05 23;18732;187,32
2022-04-05 24;17962;179,62
2022-04-06 01;12951;129,51
2022-04-06 02;12373;123,73
2022-04-06 03;10911;109,11
2022-04-06 04;10090;100,9
2022-04-06 05;9792;97,92
2022-04-06 06;9792;97,92
2022-04-06 07;12267;122,67
2022-04-06 08;10950;109,5
2022-04-06 09;6280;62,8
2022-04-06 10;6833;68,33
2022-04-06 11;5497;54,97
2022-04-06 12;6745;67,45
2022-04-06 13;10046;100,46
2022-04-06 14;9685;96,85
2022-04-06 15;8600;86
2022-04-06 16;20696;206,96
2022-04-06 17;21501;215,01
2022-04-06 18;29914;299,14
2022-04-06 19;31306;313,06
2022-04-06 20;19466;194,66
2022-04-06 21;10568;105,68
2022-04-06 22;9816;98,16
2022-04-06 23;10267;102,67
2022-04-06 24;10944;109,44
2022-04-07 01;13005;130,05
2022-04-07 02;13301;133,01
2022-04-07 03;13301;133,01
2022-04-07 04;13301;133,01
2022-04-07 05;13301;133,01
2022-04-07 06;13301;133,01
2022-04-07 07;24086;240,86
2022-04-07 08;14916;149,16
2022-04-07 09;4916;49,16
2022-04-07 10;8730;87,3
2022-04-07 11;8730;87,3
2022-04-07 12;8730;87,3
2022-04-07 13;8730;87,3
2022-04-07 14;8730;87,3
2022-04-07 15;8730;87,3
2022-04-07 16;8730;87,3
2022-04-07 17;8730;87,3
2022-04-07 18;10901;109,01
2022-04-07 19;12721;127,21
2022-04-07 20;12858;128,58
2022-04-07 21;12858;128,58
2022-04-07 22;9396;93,96
2022-04-07 23;9396;93,96
2022-04-07 24;9396;93,96
2022-04-08 01;12509;125,09
2022-04-08 02;12887;128,87
2022-04-08 03;10378;103,78
2022-04-08 04;9559;95,59
2022-04-08 05;9776;97,76
2022-04-08 06;11256;112,56
2022-04-08 07;12887;128,87
2022-04-08 08;10110;101,1
2022-04-08 09;5451;54,51
2022-04-08 10;8438;84,38
2022-04-08 11;11537;115,37
2022-04-08 12;12850;128,5
2022-04-08 13;12850;128,5
2022-04-08 14;12850;128,5
2022-04-08 15;12850;128,5
2022-04-08 16;12850;128,5
2022-04-08 17;12850;128,5
2022-04-08 18;12850;128,5
2022-04-08 19;12821;128,21
2022-04-08 20;12821;128,21
2022-04-08 21;18824;188,24
2022-04-08 22;18824;188,24
2022-04-08 23;18824;188,24
2022-04-08 24;18824;188,24
2022-04-09 01;12782;127,82
2022-04-09 02;12782;127,82
2022-04-09 03;12782;127,82
2022-04-09 04;12782;127,82
2022-04-09 05;12782;127,82
2022-04-09 06;12782;127,82
2022-04-09 07;11583;115,83
2022-04-09 08;7328;73,28
2022-04-09 09;1324;13,24
2022-04-09 10;10322;103,22
2022-04-09 11;1720;17,2
2022-04-09 12;0;0
2022-04-09 13;0;0
2022-04-09 14;0;0
2022-04-09 15;0;0
2022-04-09 16;0;0
2022-04-09 17;0;0
2022-04-09 18;16591;165,91
2022-04-09 19;15405;154,05
2022-04-09 20;13884;138,84
2022-04-09 21;11099;110,99
2022-04-09 22;10229;102,29
2022-04-09 23;10077;100,77
2022-04-09 24;10077;100,77
2022-04-10 01;15120;151,2
2022-04-10 02;13678;136,78
2022-04-10 03;12974;129,74
2022-04-10 04;12504;125,04
2022-04-10 05;10730;107,3
2022-04-10 06;7759;77,59
2022-04-10 07;7639;76,39
2022-04-10 08;6321;63,21
2022-04-10 09;6362;63,62
2022-04-10 10;5200;52
2022-04-10 11;8595;85,95
2022-04-10 12;8651;86,51
2022-04-10 13;4326;43,26
2022-04-10 14;0;0
2022-04-10 15;0;0
2022-04-10 16;0;0
2022-04-10 17;0;0
2022-04-10 18;8300;83
2022-04-10 19;19060;190,6
2022-04-10 20;15949;159,49
2022-04-10 21;13461;134,61
2022-04-10 22;13328;133,28
2022-04-10 23;8958;89,58
2022-04-10 24;7770;77,7
2022-04-11 01;9277;92,77
2022-04-11 02;8861;88,61
2022-04-11 03;8564;85,64
2022-04-11 04;8407;84,07
2022-04-11 05;8363;83,63
2022-04-11 06;8670;86,7
2022-04-11 07;14848;148,48
2022-04-11 08;13887;138,87
2022-04-11 09;5355;53,55
2022-04-11 10;5981;59,81
2022-04-11 11;8673;86,73
2022-04-11 12;8673;86,73
2022-04-11 13;8673;86,73
2022-04-11 14;8673;86,73
2022-04-11 15;8673;86,73
2022-04-11 16;18571;185,71
2022-04-11 17;19471;194,71
2022-04-11 18;19471;194,71
2022-04-11 19;19032;190,32
2022-04-11 20;11823;118,23
2022-04-11 21;7714;77,14
2022-04-11 22;7954;79,54
2022-04-11 23;14729;147,29
2022-04-11 24;18562;185,62
2022-04-12 01;12706;127,06
2022-04-12 02;12485;124,85
2022-04-12 03;12485;124,85
2022-04-12 04;12421;124,21
2022-04-12 05;12310;123,1
2022-04-12 06;12310;123,1
2022-04-12 07;12568;125,68
2022-04-12 08;10366;103,66
2022-04-12 09;4943;49,43
2022-04-12 10;4070;40,7
2022-04-12 11;4070;40,7
2022-04-12 12;4413;44,13
2022-04-12 13;4560;45,6
2022-04-12 14;15041;150,41
2022-04-12 15;16393;163,93
2022-04-12 16;16393;163,93
2022-04-12 17;14211;142,11
2022-04-12 18;12191;121,91
2022-04-12 19;12935;129,35
2022-04-12 20;13288;132,88
2022-04-12 21;11989;119,89
2022-04-12 22;11237;112,37
2022-04-12 23;11237;112,37
2022-04-12 24;11237;112,37
2022-04-13 01;11281;112,81
2022-04-13 02;10954;109,54
2022-04-13 03;9319;93,19
2022-04-13 04;9319;93,19
2022-04-13 05;9319;93,19
2022-04-13 06;9397;93,97
2022-04-13 07;11551;115,51
2022-04-13 08;10172;101,72
2022-04-13 09;5305;53,05
2022-04-13 10;884;8,84
2022-04-13 11;4432;44,32
2022-04-13 12;12740;127,4
2022-04-13 13;20074;200,74
2022-04-13 14;20074;200,74
2022-04-13 15;18619;186,19
2022-04-13 16;5305;53,05
2022-04-13 17;6404;64,04
2022-04-13 18;13545;135,45
2022-04-13 19;13264;132,64
2022-04-13 20;13264;132,64
2022-04-13 21;13264;132,64
2022-04-13 22;13264;132,64
2022-04-13 23;13382;133,82
2022-04-13 24;14053;140,53
2022-04-14 01;12114;121,14
2022-04-14 02;18871;188,71
2022-04-14 03;19622;196,22
2022-04-14 04;19622;196,22
2022-04-14 05;12289;122,89
2022-04-14 06;17170;171,7
2022-04-14 07;26027;260,27
2022-04-14 08;29254;292,54
2022-04-14 09;31488;314,88
2022-04-14 10;32804;328,04
2022-04-14 11;33208;332,08
2022-04-14 12;33208;332,08
2022-04-14 13;33208;332,08
2022-04-14 14;33208;332,08
2022-04-14 15;33208;332,08
2022-04-14 16;33430;334,3
2022-04-14 17;34095;340,95
2022-04-14 18;34095;340,95
2022-04-14 19;33296;332,96
2022-04-14 20;30890;308,9
2022-04-14 21;29898;298,98
2022-04-14 22;29898;298,98
2022-04-14 23;30612;306,12
2022-04-14 24;31598;315,98
2022-04-15 01;31787;317,87
2022-04-15 02;30923;309,23
2022-04-15 03;30306;303,06
2022-04-15 04;30306;303,06
2022-04-15 05;30950;309,5
2022-04-15 06;31810;318,1
2022-04-15 07;30618;306,18
2022-04-15 08;30618;306,18
2022-04-15 09;20606;206,06
2022-04-15 10;19427;194,27
2022-04-15 11;25563;255,63
2022-04-15 12;31119;311,19
2022-04-15 13;23958;239,58
2022-04-15 14;30131;301,31
2022-04-15 15;20872;208,72
2022-04-15 16;20872;208,72
2022-04-15 17;20872;208,72
2022-04-15 18;20872;208,72
2022-04-15 19;25788;257,88
2022-04-15 20;26392;263,92
2022-04-15 21;26392;263,92
2022-04-15 22;26392;263,92
2022-04-15 23;26392;263,92
2022-04-15 24;20940;209,4
2022-04-16 01;23385;233,85
2022-04-16 02;23385;233,85
2022-04-16 03;11465;114,65
2022-04-16 04;8317;83,17
2022-04-16 05;7709;77,09
2022-04-16 06;7709;77,09
2022-04-16 07;7709;77,09
2022-04-16 08;7558;75,58
2022-04-16 09;5460;54,6
2022-04-16 10;10934;109,34
2022-04-16 11;23220;232,2
2022-04-16 12;11719;117,19
2022-04-16 13;8681;86,81
2022-04-16 14;8681;86,81
2022-04-16 15;8681;86,81
2022-04-16 16;8447;84,47
2022-04-16 17;8737;87,37
2022-04-16 18;11299;112,99
2022-04-16 19;11013;110,13
2022-04-16 20;11013;110,13
2022-04-16 21;11013;110,13
2022-04-16 22;11013;110,13
2022-04-16 23;11013;110,13
2022-04-16 24;11013;110,13
2022-04-17 01;30613;306,13
2022-04-17 02;29250;292,5
2022-04-17 03;24800;248
2022-04-17 04;20082;200,82
2022-04-17 05;9919;99,19
2022-04-17 06;9919;99,19
2022-04-17 07;8968;89,68
2022-04-17 08;4511;45,11
2022-04-17 09;8128;81,28
2022-04-17 10;8831;88,31
2022-04-17 11;8831;88,31
2022-04-17 12;8831;88,31
2022-04-17 13;8831;88,31
2022-04-17 14;8831;88,31
2022-04-17 15;8831;88,31
2022-04-17 16;8831;88,31
2022-04-17 17;8831;88,31
2022-04-17 18;8831;88,31
2022-04-17 19;8654;86,54
2022-04-17 20;9556;95,56
2022-04-17 21;9556;95,56
2022-04-17 22;9556;95,56
2022-04-17 23;25801;258,01
2022-04-17 24;26961;269,61
2022-04-18 01;28108;281,08
2022-04-18 02;28108;281,08
2022-04-18 03;24594;245,94
2022-04-18 04;21520;215,2
2022-04-18 05;9942;99,42
2022-04-18 06;18725;187,25
2022-04-18 07;28677;286,77
2022-04-18 08;24978;249,78
2022-04-18 09;10259;102,59
2022-04-18 10;25493;254,93
2022-04-18 11;29667;296,67
2022-04-18 12;29667;296,67
2022-04-18 13;29667;296,67
2022-04-18 14;29667;296,67
2022-04-18 15;22995;229,95
2022-04-18 16;23057;230,57
2022-04-18 17;27694;276,94
2022-04-18 18;32540;325,4
2022-04-18 19;32839;328,39
2022-04-18 20;33213;332,13
2022-04-18 21;32557;325,57
2022-04-18 22;32557;325,57
2022-04-18 23;27049;270,49
2022-04-18 24;26341;263,41
2022-04-19 01;15364;153,64
2022-04-19 02;15221;152,21
2022-04-19 03;15364;153,64
2022-04-19 04;15364;153,64
2022-04-19 05;15364;153,64
2022-04-19 06;15221;152,21
2022-04-19 07;15221;152,21
2022-04-19 08;15221;152,21
2022-04-19 09;13199;131,99
2022-04-19 10;13623;136,23
2022-04-19 11;13623;136,23
2022-04-19 12;13623;136,23
2022-04-19 13;13623;136,23
2022-04-19 14;13623;136,23
2022-04-19 15;13623;136,23
2022-04-19 16;24546;245,46
2022-04-19 17;27870;278,7
2022-04-19 18;32565;325,65
2022-04-19 19;32675;326,75
2022-04-19 20;30291;302,91
2022-04-19 21;27113;271,13
2022-04-19 22;27113;271,13
2022-04-19 23;19034;190,34
2022-04-19 24;19034;190,34
2022-04-20 01;24865;248,65
2022-04-20 02;24865;248,65
2022-04-20 03;24865;248,65
2022-04-20 04;24865;248,65
2022-04-20 05;24865;248,65
2022-04-20 06;24865;248,65
2022-04-20 07;25240;252,4
2022-04-20 08;25594;255,94
2022-04-20 09;24172;241,72
2022-04-20 10;27006;270,06
2022-04-20 11;27006;270,06
2022-04-20 12;27006;270,06
2022-04-20 13;27006;270,06
2022-04-20 14;27119;271,19
2022-04-20 15;27345;273,45
2022-04-20 16;27345;273,45
2022-04-20 17;27345;273,45
2022-04-20 18;28338;283,38
2022-04-20 19;30202;302,02
2022-04-20 20;27459;274,59
2022-04-20 21;19673;196,73
2022-04-20 22;13275;132,75
2022-04-20 23;13275;132,75
2022-04-20 24;13275;132,75
2022-04-21 01;30412;304,12
2022-04-21 02;30412;304,12
2022-04-21 03;30412;304,12
2022-04-21 04;28020;280,2
2022-04-21 05;10067;100,67
2022-04-21 06;29113;291,13
2022-04-21 07;33815;338,15
2022-04-21 08;34783;347,83
2022-04-21 09;15489;154,89
2022-04-21 10;15489;154,89
2022-04-21 11;15489;154,89
2022-04-21 12;15489;154,89
2022-04-21 13;14262;142,62
2022-04-21 14;8300;83
2022-04-21 15;13554;135,54
2022-04-21 16;13554;135,54
2022-04-21 17;13335;133,35
2022-04-21 18;13554;135,54
2022-04-21 19;13250;132,5
2022-04-21 20;12379;123,79
2022-04-21 21;11507;115,07
2022-04-21 22;11507;115,07
2022-04-21 23;11507;115,07
2022-04-21 24;11507;115,07
2022-04-22 01;11172;111,72
2022-04-22 02;11172;111,72
2022-04-22 03;11172;111,72
2022-04-22 04;8947;89,47
2022-04-22 05;10703;107,03
2022-04-22 06;11172;111,72
2022-04-22 07;11172;111,72
2022-04-22 08;11172;111,72
2022-04-22 09;12677;126,77
2022-04-22 10;13589;135,89
2022-04-22 11;13589;135,89
2022-04-22 12;13589;135,89
2022-04-22 13;13589;135,89
2022-04-22 14;10758;107,58
2022-04-22 15;8486;84,86
2022-04-22 16;8354;83,54
2022-04-22 17;8354;83,54
2022-04-22 18;12901;129,01
2022-04-22 19;11592;115,92
2022-04-22 20;11592;115,92
2022-04-22 21;11592;115,92
2022-04-22 22;11592;115,92
2022-04-22 23;11592;115,92
2022-04-22 24;11592;115,92
2022-04-23 01;10822;108,22
2022-04-23 02;13297;132,97
2022-04-23 03;10817;108,17
2022-04-23 04;9721;97,21
2022-04-23 05;9721;97,21
2022-04-23 06;9721;97,21
2022-04-23 07;9782;97,82
2022-04-23 08;5938;59,38
2022-04-23 09;5125;51,25
2022-04-23 10;5972;59,72
2022-04-23 11;10662;106,62
2022-04-23 12;10204;102,04
2022-04-23 13;10204;102,04
2022-04-23 14;10204;102,04
2022-04-23 15;10204;102,04
2022-04-23 16;3401;34,01
2022-04-23 17;7864;78,64
2022-04-23 18;16044;160,44
2022-04-23 19;13332;133,32
2022-04-23 20;13332;133,32
2022-04-23 21;23699;236,99
2022-04-23 22;19538;195,38
2022-04-23 23;13332;133,32
2022-04-23 24;13332;133,32
2022-04-24 01;11864;118,64
2022-04-24 02;9545;95,45
2022-04-24 03;9138;91,38
2022-04-24 04;7833;78,33
2022-04-24 05;8066;80,66
2022-04-24 06;8864;88,64
2022-04-24 07;8171;81,71
2022-04-24 08;4369;43,69
2022-04-24 09;0;0
2022-04-24 10;0;0
2022-04-24 11;0;0
2022-04-24 12;0;0
2022-04-24 13;0;0
2022-04-24 14;0;0
2022-04-24 15;0;0
2022-04-24 16;0;0
2022-04-24 17;2970;29,7
2022-04-24 18;12059;120,59
2022-04-24 19;15218;152,18
2022-04-24 20;15218;152,18
2022-04-24 21;15218;152,18
2022-04-24 22;15218;152,18
2022-04-24 23;15218;152,18
2022-04-24 24;15218;152,18
2022-04-25 01;7823;78,23
2022-04-25 02;7956;79,56
2022-04-25 03;7630;76,3
2022-04-25 04;7856;78,56
2022-04-25 05;7856;78,56
2022-04-25 06;8636;86,36
2022-04-25 07;9892;98,92
2022-04-25 08;7486;74,86
2022-04-25 09;5875;58,75
2022-04-25 10;5875;58,75
2022-04-25 11;5875;58,75
2022-04-25 12;5875;58,75
2022-04-25 13;5875;58,75
2022-04-25 14;5668;56,68
2022-04-25 15;5311;53,11
2022-04-25 16;5828;58,28
2022-04-25 17;9573;95,73
2022-04-25 18;12581;125,81
2022-04-25 19;9565;95,65
2022-04-25 20;9565;95,65
2022-04-25 21;9565;95,65
2022-04-25 22;9565;95,65
2022-04-25 23;9565;95,65
2022-04-25 24;9565;95,65
2022-04-26 01;8235;82,35
2022-04-26 02;8179;81,79
2022-04-26 03;8179;81,79
2022-04-26 04;8179;81,79
2022-04-26 05;8479;84,79
2022-04-26 06;8846;88,46
2022-04-26 07;9976;99,76
2022-04-26 08;9375;93,75
2022-04-26 09;5768;57,68
2022-04-26 10;8997;89,97
2022-04-26 11;9072;90,72
2022-04-26 12;8775;87,75
2022-04-26 13;8733;87,33
2022-04-26 14;8267;82,67
2022-04-26 15;8352;83,52
2022-04-26 16;11123;111,23
2022-04-26 17;12973;129,73
2022-04-26 18;13611;136,11
2022-04-26 19;12449;124,49
2022-04-26 20;12278;122,78
2022-04-26 21;12278;122,78
2022-04-26 22;12278;122,78
2022-04-26 23;12278;122,78
2022-04-26 24;10019;100,19
2022-04-27 01;7989;79,89
2022-04-27 02;7645;76,45
2022-04-27 03;7645;76,45
2022-04-27 04;7611;76,11
2022-04-27 05;6433;64,33
2022-04-27 06;6913;69,13
2022-04-27 07;8309;83,09
2022-04-27 08;5788;57,88
2022-04-27 09;5169;51,69
2022-04-27 10;5136;51,36
2022-04-27 11;5910;59,1
2022-04-27 12;6271;62,71
2022-04-27 13;5438;54,38
2022-04-27 14;5821;58,21
2022-04-27 15;5394;53,94
2022-04-27 16;7031;70,31
2022-04-27 17;8437;84,37
2022-04-27 18;15192;151,92
2022-04-27 19;14545;145,45
2022-04-27 20;14545;145,45
2022-04-27 21;14545;145,45
2022-04-27 22;14545;145,45
2022-04-27 23;14001;140,01
2022-04-27 24;9107;91,07
2022-04-28 01;9028;90,28
2022-04-28 02;8806;88,06
2022-04-28 03;8195;81,95
2022-04-28 04;8195;81,95
2022-04-28 05;8501;85,01
2022-04-28 06;9000;90
2022-04-28 07;9028;90,28
2022-04-28 08;8475;84,75
2022-04-28 09;5493;54,93
2022-04-28 10;5297;52,97
2022-04-28 11;5313;53,13
2022-04-28 12;6523;65,23
2022-04-28 13;6826;68,26
2022-04-28 14;0;0
2022-04-28 15;0;0
2022-04-28 16;0;0
2022-04-28 17;3409;34,09
2022-04-28 18;9240;92,4
2022-04-28 19;8801;88,01
2022-04-28 20;8801;88,01
2022-04-28 21;8801;88,01
2022-04-28 22;8801;88,01
2022-04-28 23;9223;92,23
2022-04-28 24;9223;92,23
2022-04-29 01;9141;91,41
2022-04-29 02;9033;90,33
2022-04-29 03;9141;91,41
2022-04-29 04;9141;91,41
2022-04-29 05;9069;90,69
2022-04-29 06;9062;90,62
2022-04-29 07;9095;90,95
2022-04-29 08;7649;76,49
2022-04-29 09;5257;52,57
2022-04-29 10;6155;61,55
2022-04-29 11;6816;68,16
2022-04-29 12;6819;68,19
2022-04-29 13;4417;44,17
2022-04-29 14;3560;35,6
2022-04-29 15;5024;50,24
2022-04-29 16;4436;44,36
2022-04-29 17;9425;94,25
2022-04-29 18;11809;118,09
2022-04-29 19;9972;99,72
2022-04-29 20;9972;99,72
2022-04-29 21;9972;99,72
2022-04-29 22;9972;99,72
2022-04-29 23;9972;99,72
2022-04-29 24;9972;99,72
2022-04-30 01;9433;94,33
2022-04-30 02;9063;90,63
2022-04-30 03;9063;90,63
2022-04-30 04;9063;90,63
2022-04-30 05;9063;90,63
2022-04-30 06;9063;90,63
2022-04-30 07;9063;90,63
2022-04-30 08;6814;68,14
2022-04-30 09;0;0
2022-04-30 10;0;0
2022-04-30 11;0;0
2022-04-30 12;0;0
2022-04-30 13;0;0
2022-04-30 14;0;0
2022-04-30 15;0;0
2022-04-30 16;0;0
2022-04-30 17;0;0
2022-04-30 18;9091;90,91
2022-04-30 19;9062;90,62
2022-04-30 20;9062;90,62
2022-04-30 21;9062;90,62
2022-04-30 22;9062;90,62
2022-04-30 23;8652;86,52
2022-04-30 24;8316;83,16
2022-05-01 01;7901;79,01
2022-05-01 02;7541;75,41
2022-05-01 03;7515;75,15
2022-05-01 04;7515;75,15
2022-05-01 05;6986;69,86
2022-05-01 06;6525;65,25
2022-05-01 07;6602;66,02
2022-05-01 08;3730;37,3
2022-05-01 09;0;0
2022-05-01 10;0;0
2022-05-01 11;0;0
2022-05-01 12;0;0
2022-05-01 13;0;0
2022-05-01 14;0;0
2022-05-01 15;0;0
2022-05-01 16;0;0
2022-05-01 17;0;0
2022-05-01 18;6430;64,3
2022-05-01 19;9044;90,44
2022-05-01 20;9044;90,44
2022-05-01 21;9044;90,44
2022-05-01 22;9044;90,44
2022-05-01 23;7956;79,56
2022-05-01 24;7753;77,53
2022-05-02 01;7531;75,31
2022-05-02 02;7018;70,18
2022-05-02 03;6780;67,8
2022-05-02 04;6780;67,8
2022-05-02 05;7741;77,41
2022-05-02 06;8588;85,88
2022-05-02 07;8986;89,86
2022-05-02 08;8693;86,93
2022-05-02 09;4419;44,19
2022-05-02 10;0;0
2022-05-02 11;0;0
2022-05-02 12;0;0
2022-05-02 13;0;0
2022-05-02 14;0;0
2022-05-02 15;0;0
2022-05-02 16;0;0
2022-05-02 17;4110;41,1
2022-05-02 18;9801;98,01
2022-05-02 19;9102;91,02
2022-05-02 20;9102;91,02
2022-05-02 21;9102;91,02
2022-05-02 22;9102;91,02
2022-05-02 23;9102;91,02
2022-05-02 24;9102;91,02
2022-05-03 01;9154;91,54
2022-05-03 02;9002;90,02
2022-05-03 03;7789;77,89
2022-05-03 04;7582;75,82
2022-05-03 05;7629;76,29
2022-05-03 06;8652;86,52
2022-05-03 07;9137;91,37
2022-05-03 08;8017;80,17
2022-05-03 09;0;0
2022-05-03 10;0;0
2022-05-03 11;0;0
2022-05-03 12;1763;17,63
2022-05-03 13;5290;52,9
2022-05-03 14;5290;52,9
2022-05-03 15;0;0
2022-05-03 16;0;0
2022-05-03 17;5468;54,68
2022-05-03 18;13538;135,38
2022-05-03 19;10918;109,18
2022-05-03 20;11997;119,97
2022-05-03 21;11997;119,97
2022-05-03 22;11980;119,8
2022-05-03 23;11871;118,71
2022-05-03 24;11871;118,71
2022-05-04 01;9114;91,14
2022-05-04 02;8716;87,16
2022-05-04 03;7694;76,94
2022-05-04 04;7559;75,59
2022-05-04 05;8045;80,45
2022-05-04 06;8414;84,14
2022-05-04 07;8857;88,57
2022-05-04 08;5664;56,64
2022-05-04 09;0;0
2022-05-04 10;0;0
2022-05-04 11;0;0
2022-05-04 12;0;0
2022-05-04 13;0;0
2022-05-04 14;0;0
2022-05-04 15;0;0
2022-05-04 16;0;0
2022-05-04 17;8852;88,52
2022-05-04 18;13873;138,73
2022-05-04 19;11523;115,23
2022-05-04 20;11523;115,23
2022-05-04 21;11523;115,23
2022-05-04 22;11523;115,23
2022-05-04 23;11523;115,23
2022-05-04 24;11523;115,23
2022-05-05 01;10696;106,96
2022-05-05 02;9180;91,8
2022-05-05 03;8780;87,8
